aaba	æː b æ
chattogram	ʕ h æ t t ɔ ɡ r æ m
chaudhary	ʕ h æ u ɖ æ r j
chavez	ʕ h æ e
chazunguza	ʕ h æ u n ɡ u æ
che	ʕ h e
cheddah	ʕ h e d d æ h
cheewa	ʕ h eː w æ
cheik	ʕ h e i k
chelsea	ʕ h e l s e æ
chennai	ʕ h e n n æ i
cheque	ʕ h e q u e
cher	ʕ h e r
cherif	ʕ h e r i f
cherita	ʕ h e r i t æ
chernobyl	ʕ h e r n ɔ b j l
cherono	ʕ h e r ɔ n ɔ
chess	ʕ h e s s
chessa	ʕ h e s s æ
chevrolet	ʕ h e r ɔ l e t
chew	ʕ h e w
chewe	ʕ h e w e
chi	ʕ h i
chiang	ʕ h i æ n ɡ
chibundu	ʕ h i b u n d u
chibuzo	ʕ h i b u ɔ
chicago	ʕ h i ʕ æ ɡ ɔ
chichewa	ʕ h i ʕ h e w æ
chidinma	ʕ h i d i n m æ
chidozie	ʕ h i d ɔ i e
chigozie	ʕ h i ɡ ɔ i e
chijioke	ʕ h i d͡ʒ i ɔ k e
chika	ʕ h i k æ
chikane	ʕ h i k æ n e
chike	ʕ h i k e
chikonzero	ʕ h i k ɔ n e r ɔ
chikwenye	ʕ h i k w e n j e
chile	ʕ h i l e
chilembwe	ʕ h i l e m b w e
chili	ʕ h i l i
chilubi	ʕ h i l u b i
chilumba	ʕ h i l u m b æ
chilwa	ʕ h i l w æ
chimbote	ʕ h i m b ɔ t e
chime	ʕ h i m e
chin	ʕ h i n
china	ʕ h i n æ
chinangwa	ʕ h i n æ n ɡ w æ
chinde	ʕ h i n d e
chinedu	ʕ h i n e d u
chineze	ʕ h i n e e
chinhoyi	ʕ h i n h ɔ j i
chinko	ʕ h i n k ɔ
chinonso	ʕ h i n ɔ n s ɔ
chintheche	ʕ h i n t h e ʕ h e
chinua	ʕ h i n u æ
chinwe	ʕ h i n w e
chinwo	ʕ h i n w ɔ
chioma	ʕ h i ɔ m æ
chiponda	ʕ h i ɔ n d æ
chipukeezy	ʕ h i u k eː j
chiri	ʕ h i r i
chittagong	ʕ h i t t æ ɡ ɔ n ɡ
chiurai	ʕ h i u r æ i
chizumulu	ʕ h i u m u l u
chlef	ʕ h l e f
chloe	ʕ h l ɔ e
chlorine	ʕ h l ɔ r i n e
cho	ʕ h ɔ
chocolate	ʕ h ɔ ʕ ɔ l æ t e
choi	ʕ h ɔ i
chonburi	ʕ h ɔ n b u r i
chopra	ʕ h ɔ r æ
chopstix	ʕ h ɔ s t i ħ
chott	ʕ h ɔ t t
chou	ʕ h ɔ u
chouraqui	ʕ h ɔ u r æ q u i
chris	ʕ h r i s
christensen	ʕ h r i s t e n s e n
christian	ʕ h r i s t i æ n
christina	ʕ h r i s t i n æ
christmas	ʕ h r i s t m æ s
christoffel	ʕ h r i s t ɔ f f e l
christopher	ʕ h r i s t ɔ h e r
chromium	ʕ h r ɔ m i u m
chte	ʕ h t e
chukwu	ʕ h u k w u
chukwuemeka	ʕ h u k w u e m e k æ
chukwujekwu	ʕ h u k w u d͡ʒ e k w u
chukwuma	ʕ h u k w u m æ
chungha	ʕ h u n ɡ h æ
chuol	ʕ h u ɔ l
chweneyagae	ʕ h w e n e j æ ɡ æ e
chwezi	ʕ h w e i
chyrum	ʕ h j r u m
cibraani	ʕ i b r æː n i
cibri	ʕ i b r i
cibriga	ʕ i b r i ɡ æ
cidaanka	ʕ i d æː n k æ
cidanka	ʕ i d æ n k æ
ciddi	ʕ i d d i
cidhif	ʕ i ɖ i f
cidhifka	ʕ i ɖ i f k æ
cidi	ʕ i d i
cigaal	ʕ i ɡ æː l
cigaaled	ʕ i ɡ æː l e d
cigarette	ʕ i ɡ æ r e t t e
cige	ʕ i ɡ e
cigo	ʕ i ɡ ɔ
ciid	ʕ iː d
ciida	ʕ iː d æ
ciidaanka	ʕ iː d æː n k æ
ciidagale	ʕ iː d æ ɡ æ l e
ciidamada	ʕ iː d æ m æ d æ
ciidamka	ʕ iː d æ m k æ
ciidan	ʕ iː d æ n
ciidanka	ʕ iː d æ n k æ
ciidda	ʕ iː d d æ
ciideed	ʕ iː d eː d
ciilaam	ʕ iː l æː m
ciilaan	ʕ iː l æː n
ciir	ʕ iː r
ciirsi	ʕ iː r s i
ciise	ʕ iː s e
cikrama	ʕ i k r æ m æ
cilaan	ʕ i l æː n
cilis	ʕ i l i s
cillaan	ʕ i l l æː n
cillad	ʕ i l l æ d
cillada	ʕ i l l æ d æ
cillanaad	ʕ i l l æ n æː d
cilliers	ʕ i l l i e r s
cilmaani	ʕ i l m æː n i
cilmaaniga	ʕ i l m æː n i ɡ æ
cilmaaniyadda	ʕ i l m æː n i j æ d d æ
cilmi	ʕ i l m i
cilmibaadhis	ʕ i l m i b æː ɖ i s
cilmibaadhista	ʕ i l m i b æː ɖ i s t æ
cilmiga	ʕ i l m i ɡ æ
cilminafsi	ʕ i l m i n æ f s i
cimaamad	ʕ i m æː m æ d
cimiga	ʕ i m i ɡ æ
cimilada	ʕ i m i l æ d æ
cimilo	ʕ i m i l ɔ
cimraan	ʕ i m r æː n
cimran	ʕ i m r æ n
cinderella	ʕ i n d e r e l l æ
cinjo	ʕ i n d͡ʒ ɔ
cintia	ʕ i n t i æ
cintra	ʕ i n t r æ
cinwaanka	ʕ i n w æː n k æ
cinwaankaaga	ʕ i n w æː n k æː ɡ æ
cio	ʕ i ɔ
ciqaab	ʕ i q æː b
cir	ʕ i r
ciraad	ʕ i r æː d
ciraaq	ʕ i r æː q
ciraaqdii	ʕ i r æː q d iː
ciraaqi	ʕ i r æː q i
cirbadii	ʕ i r b æ d iː
circassians	ʕ i r ʕ æ s s i æ n s
circuits	ʕ i r ʕ u i t s
circumcision	ʕ i r ʕ u m ʕ i s i ɔ n
cirdhow	ʕ i r ɖ ɔ w
ciribtir	ʕ i r i b t i r
cirid	ʕ i r i d
cirifka	ʕ i r i f k æ
cirjeex	ʕ i r d͡ʒ eː ħ
cirka	ʕ i r k æ
cirmaaxnimo	ʕ i r m æː ħ n i m ɔ
cirro	ʕ i r r ɔ
cirtuu	ʕ i r t uː
cirtuw	ʕ i r t u w
cisal	ʕ i s æ l
cishaha	ʕ i ʃ æ h æ
cishe	ʕ i ʃ e
cismaan	ʕ i s m æː n
cismaaniya	ʕ i s m æː n i j æ
cismaanya	ʕ i s m æː n j æ
cities	ʕ i t i e s
city	ʕ i t j
ciwaanka	ʕ i w æː n k æ
ciyaal	ʕ i j æː l
ciyaalaha	ʕ i j æː l æ h æ
ciyaalka	ʕ i j æː l k æ
ciyaar	ʕ i j æː r
ciyaaraha	ʕ i j æː r æ h æ
ciyaarta	ʕ i j æː r t æ
ciyaarto	ʕ i j æː r t ɔ
ciyaaryahan	ʕ i j æː r j æ h æ n
ciyaryahan	ʕ i j æ r j æ h æ n
cizudiin	ʕ i u d iː n
cken	ʕ k e n
ckner	ʕ k n e r
cl	ʕ l
claerhout	ʕ l æ e r h ɔ u t
claire	ʕ l æ i r e
clan	ʕ l æ n
clancey	ʕ l æ n ʕ e j
clare	ʕ l æ r e
clark	ʕ l æ r k
clarke	ʕ l æ r k e
classic	ʕ l æ s s i ʕ
classification	ʕ l æ s s i f i ʕ æ t i ɔ n
clatworthy	ʕ l æ t w ɔ r t h j
claude	ʕ l æ u d e
claudette	ʕ l æ u d e t t e
clay	ʕ l æ j
clement	ʕ l e m e n t
clermont	ʕ l e r m ɔ n t
cliff	ʕ l i f f
climate	ʕ l i m æ t e
clinton	ʕ l i n t ɔ n
cloete	ʕ l ɔ e t e
club	ʕ l u b
clueless	ʕ l u e l e s s
cma	ʕ m æ
cn	ʕ n
co	ʕ ɔ
coa	ʕ ɔ æ
coachella	ʕ ɔ æ ʕ h e l l æ
coast	ʕ ɔ æ s t
coastline	ʕ ɔ æ s t l i n e
cobalt	ʕ ɔ b æ l t
cobb	ʕ ɔ b b
coca	ʕ ɔ ʕ æ
coco	ʕ ɔ ʕ ɔ
cocoon	ʕ ɔ ʕ ɔː n
cocos	ʕ ɔ ʕ ɔ s
cod	ʕ ɔ d
codad	ʕ ɔ d æ d
codadka	ʕ ɔ d æ d k æ
codbixin	ʕ ɔ d b i ħ i n
code	ʕ ɔ d e
codes	ʕ ɔ d e s
codlalis	ʕ ɔ d l æ l i s
codweyne	ʕ ɔ d w e j n e
cody	ʕ ɔ d j
coelho	ʕ ɔ e l h ɔ
coentro	ʕ ɔ e n t r ɔ
coetzee	ʕ ɔ e t eː
coffee	ʕ ɔ f f eː
cohoha	ʕ ɔ h ɔ h æ
col	ʕ ɔ l
cola	ʕ ɔ l æ
colaada	ʕ ɔ l æː d æ
coldoon	ʕ ɔ l d ɔː n
cole	ʕ ɔ l e
coleman	ʕ ɔ l e m æ n
coletti	ʕ ɔ l e t t i
colguula	ʕ ɔ l ɡ uː l æ
colin	ʕ ɔ l i n
collective	ʕ ɔ l l e ʕ t i e
collin	ʕ ɔ l l i n
colombie	ʕ ɔ l ɔ m b i e
colonel	ʕ ɔ l ɔ n e l
coloow	ʕ ɔ l ɔː w
colow	ʕ ɔ l ɔ w
columbia	ʕ ɔ l u m b i æ
columbus	ʕ ɔ l u m b u s
column	ʕ ɔ l u m n
com	ʕ ɔ m
comac	ʕ ɔ m æ ʕ
comade	ʕ ɔ m æ d e
comedy	ʕ ɔ m e d j
commission	ʕ ɔ m m i s s i ɔ n
commitee	ʕ ɔ m m i t eː
committee	ʕ ɔ m m i t t eː
community	ʕ ɔ m m u n i t j
comoros	ʕ ɔ m ɔ r ɔ s
company	ʕ ɔ m æ n j
compaor	ʕ ɔ m æ ɔ r
compaq	ʕ ɔ m æ q
computer	ʕ ɔ m u t e r
concacaf	ʕ ɔ n ʕ æ ʕ æ f
concepci	ʕ ɔ n ʕ e ʕ i
concert	ʕ ɔ n ʕ e r t
concor	ʕ ɔ n ʕ ɔ r
concorde	ʕ ɔ n ʕ ɔ r d e
cond	ʕ ɔ n d
condon	ʕ ɔ n d ɔ n
confederation	ʕ ɔ n f e d e r æ t i ɔ n
conflict	ʕ ɔ n f l i ʕ t
confucius	ʕ ɔ n f u ʕ i u s
congo	ʕ ɔ n ɡ ɔ
congress	ʕ ɔ n ɡ r e s s
congressional	ʕ ɔ n ɡ r e s s i ɔ n æ l
conifa	ʕ ɔ n i f æ
conkor	ʕ ɔ n k ɔ r
conmebol	ʕ ɔ n m e b ɔ l
conn	ʕ ɔ n n
connecticut	ʕ ɔ n n e ʕ t i ʕ u t
connie	ʕ ɔ n n i e
conqor	ʕ ɔ n q ɔ r
conrad	ʕ ɔ n r æ d
cons	ʕ ɔ n s
conte	ʕ ɔ n t e
conterato	ʕ ɔ n t e r æ t ɔ
contest	ʕ ɔ n t e s t
convention	ʕ ɔ n e n t i ɔ n
coodtabin	ʕ ɔː d t æ b i n
cooke	ʕ ɔː k e
cookey	ʕ ɔː k e j
cooktown	ʕ ɔː k t ɔ w n
cool	ʕ ɔː l
cooley	ʕ ɔː l e j
cooli	ʕ ɔː l i
coolpix	ʕ ɔː l i ħ
coomaad	ʕ ɔː m æː d
coomaadaha	ʕ ɔː m æː d æ h æ
coomaade	ʕ ɔː m æː d e
cooper	ʕ ɔː e r
cooperation	ʕ ɔː e r æ t i ɔ n
coordinate	ʕ ɔː r d i n æ t e
coordinated	ʕ ɔː r d i n æ t e d
coosweyne	ʕ ɔː s w e j n e
copenhagen	ʕ ɔ e n h æ ɡ e n
copernicium	ʕ ɔ e r n i ʕ i u m
copiopteryx	ʕ ɔ i ɔ t e r j ħ
copley	ʕ ɔ l e j
copper	ʕ ɔ e r
corbin	ʕ ɔ r b i n
core	ʕ ɔ r e
coreca	ʕ ɔ r e ʕ æ
corinthian	ʕ ɔ r i n t h i æ n
coritiba	ʕ ɔ r i t i b æ
corlia	ʕ ɔ r l i æ
cormack	ʕ ɔ r m æ ʕ k
cornelis	ʕ ɔ r n e l i s
cornelius	ʕ ɔ r n e l i u s
cornell	ʕ ɔ r n e l l
cornwell	ʕ ɔ r n w e l l
coromoto	ʕ ɔ r ɔ m ɔ t ɔ
coronavirus	ʕ ɔ r ɔ n æ i r u s
corporation	ʕ ɔ r ɔ r æ t i ɔ n
correa	ʕ ɔ r r e æ
corsica	ʕ ɔ r s i ʕ æ
cort	ʕ ɔ r t
cory	ʕ ɔ r j
cosafa	ʕ ɔ s æ f æ
cosmaniya	ʕ ɔ s m æ n i j æ
cosmetics	ʕ ɔ s m e t i ʕ s
cosmo	ʕ ɔ s m ɔ
cosmopolitan	ʕ ɔ s m ɔ ɔ l i t æ n
cosoble	ʕ ɔ s ɔ b l e
costa	ʕ ɔ s t æ
council	ʕ ɔ u n ʕ i l
countdown	ʕ ɔ u n t d ɔ w n
counter	ʕ ɔ u n t e r
countries	ʕ ɔ u n t r i e s
country	ʕ ɔ u n t r j
county	ʕ ɔ u n t j
coup	ʕ ɔ u
courthouse	ʕ ɔ u r t h ɔ u s e
courtney	ʕ ɔ u r t n e j
covid	ʕ ɔ i d
cowan	ʕ ɔ w æ n
cowl	ʕ ɔ w l
cowlaan	ʕ ɔ w l æː n
cows	ʕ ɔ w s
cpc	ʕ ʕ
cpu	ʕ u
cr	ʕ r
crafts	ʕ r æ f t s
craig	ʕ r æ i ɡ
crane	ʕ r æ n e
cranio	ʕ r æ n i ɔ
crater	ʕ r æ t e r
crayon	ʕ r æ j ɔ n
crazy	ʕ r æ j
cream	ʕ r e æ m
creation	ʕ r e æ t i ɔ n
creek	ʕ r eː k
creosote	ʕ r e ɔ s ɔ t e
crescent	ʕ r e s ʕ e n t
cricket	ʕ r i ʕ k e t
crimean	ʕ r i m e æ n
cris	ʕ r i s
cristal	ʕ r i s t æ l
cristiano	ʕ r i s t i æ n ɔ
cristina	ʕ r i s t i n æ
croatia	ʕ r ɔ æ t i æ
crush	ʕ r u ʃ
cruz	ʕ r u
cs	ʕ s
cscec	ʕ s ʕ e ʕ
csepel	ʕ s e e l
csv	ʕ s
csw	ʕ s w
cu	ʕ u
cub	ʕ u b
cuba	ʕ u b æ
cubaada	ʕ u b æː d æ
cubaydu	ʕ u b æ j d u
cubeydah	ʕ u b e j d æ h
cubeydilaah	ʕ u b e j d i l æː h
cubeydilaahi	ʕ u b e j d i l æː h i
cubeydilah	ʕ u b e j d i l æ h
cudbi	ʕ u d b i
cudur	ʕ u d u r
cudurada	ʕ u d u r æ d æ
cudurka	ʕ u d u r k æ
cudursheeg	ʕ u d u r ʃ eː ɡ
cuf	ʕ u f
cufisjiidad	ʕ u f i s d͡ʒ iː d æ d
cufjiid	ʕ u f d͡ʒ iː d
cufnaanta	ʕ u f n æː n t æ
cukur	ʕ u k u r
culaacul	ʕ u l æː ʕ u l
culbert	ʕ u l b e r t
culeys	ʕ u l e j s
culeyska	ʕ u l e j s k æ
culimada	ʕ u l i m æ d æ
cull	ʕ u l l
cullberg	ʕ u l l b e r ɡ
cultural	ʕ u l t u r æ l
culus	ʕ u l u s
culusow	ʕ u l u s ɔ w
culuumta	ʕ u l uː m t æ
culver	ʕ u l e r
cumaan	ʕ u m æː n
cumaar	ʕ u m æː r
cumar	ʕ u m æ r
cumeyr	ʕ u m e j r
cundill	ʕ u n d i l l
cunha	ʕ u n h æ
cunnada	ʕ u n n æ d æ
cunnto	ʕ u n n t ɔ
cunsuriyad	ʕ u n s u r i j æ d
cunsuriyada	ʕ u n s u r i j æ d æ
cuntada	ʕ u n t æ d æ
cunto	ʕ u n t ɔ
cuntoka	ʕ u n t ɔ k æ
cunug	ʕ u n u ɡ
cuqba	ʕ u q b æ
cuqdadda	ʕ u q d æ d d æ
curitiba	ʕ u r i t i b æ
curiyayaasha	ʕ u r i j æ j æː ʃ æ
curiye	ʕ u r i j e
curonian	ʕ u r ɔ n i æ n
currency	ʕ u r r e n ʕ j
current	ʕ u r r e n t
curry	ʕ u r r j
curtis	ʕ u r t i s
curudka	ʕ u r u d k æ
curwa	ʕ u r w æ
curyaan	ʕ u r j æː n
cusbada	ʕ u s b æ d æ
cusbo	ʕ u s b ɔ
cusbonaysiiyo	ʕ u s b ɔ n æ j s iː j ɔ
cushitic	ʕ u ʃ i t i ʕ
cusmaan	ʕ u s m æː n
cusmaani	ʕ u s m æː n i
cusmaaniya	ʕ u s m æː n i j æ
cusmaaniyiinta	ʕ u s m æː n i j iː n t æ
cusman	ʕ u s m æ n
cusub	ʕ u s u b
cutub	ʕ u t u b
cutubyada	ʕ u t u b j æ d æ
cuud	ʕ uː d
cuunto	ʕ uː n t ɔ
cuuntoka	ʕ uː n t ɔ k æ
cuwaaf	ʕ u w æː f
cw	ʕ w
cyambwe	ʕ j æ m b w e
cyangugu	ʕ j æ n ɡ u ɡ u
cycadaceae	ʕ j ʕ æ d æ ʕ e æ e
cycadales	ʕ j ʕ æ d æ l e s
cycadopsida	ʕ j ʕ æ d ɔ s i d æ
cynthia	ʕ j n t h i æ
cyprus	ʕ j r u s
cyranek	ʕ j r æ n e k
cyrene	ʕ j r e n e
cyria	ʕ j r i æ
cyril	ʕ j r i l
cyrus	ʕ j r u s
cythna	ʕ j t h n æ
czech	ʕ e ʕ h
czopek	ʕ ɔ e k
da	d æ
daa	d æː
daabacay	d æː b æ ʕ æ j
daacuunkii	d æː ʕ uː n k iː
daad	d æː d
daada	d æː d æ
daadad	d æː d æ d
daadadkii	d æː d æ d k iː
daadka	d æː d k æ
daadmadheedh	d æː d m æ ɖ eː ɖ
daaf	d æː f
daahir	d æː h i r
daakhil	d æː χ i l
daal	d æː l
daalabaani	d æː l æ b æː n i
daalib	d æː l i b
daalin	d æː l i n
daalka	d æː l k æ
daallo	d æː l l ɔ
daalo	d æː l ɔ
daami	d æː m i
daamur	d æː m u r
daan	d æː n
daango	d æː n ɡ ɔ
daanta	d æː n t æ
daanyeer	d æː n j eː r
daanyeereey	d æː n j eː r eː j
daaqad	d æː q æ d
daaqsimeedka	d æː q s i m eː d k æ
daaqsinka	d æː q s i n k æ
daar	d æː r
daarandoole	d æː r æ n d ɔː l e
daariq	d æː r i q
daarood	d æː r ɔː d
daaroodnimo	d æː r ɔː d n i m ɔ
daaru	d æː r u
daarul	d æː r u l
daarusalaam	d æː r u s æ l æː m
daas	d æː s
daasdaaweed	d æː s d æː w eː d
daasweyne	d æː s w e j n e
daaud	d æː u d
daauud	d æː uː d
daawato	d æː w æ t ɔ
daaweed	d æː w eː d
daaweynta	d æː w e j n t æ
daawo	d æː w ɔ
daayeer	d æː j eː r
dab	d æ b
daba	d æ b æ
dabaal	d æ b æː l
dabaaldag	d æ b æː l d æ ɡ
dabaalka	d æ b æː l k æ
dabaasha	d æ b æː ʃ æ
dabacase	d æ b æ ʕ æ s e
dabacayuun	d æ b æ ʕ æ j uː n
dabada	d æ b æ d æ
dabagaab	d æ b æ ɡ æː b
dabagaale	d æ b æ ɡ æː l e
dabagale	d æ b æ ɡ æ l e
dabagalka	d æ b æ ɡ æ l k æ
dabagalo	d æ b æ ɡ æ l ɔ
dabajeex	d æ b æ d͡ʒ eː ħ
dabangaale	d æ b æ n ɡ æː l e
dabaqad	d æ b æ q æ d
dabaqada	d æ b æ q æ d æ
dabaqallooc	d æ b æ q æ l l ɔː ʕ
dabaqaroof	d æ b æ q æ r ɔː f
dabar	d æ b æ r
dabare	d æ b æ r e
dabarre	d æ b æ r r e
dabarroow	d æ b æ r r ɔː w
dabasoco	d æ b æ s ɔ ʕ ɔ
dabataag	d æ b æ t æː ɡ
dabato	d æ b æ t ɔ
dabayl	d æ b æ j l
dabaylka	d æ b æ j l k æ
dabdhagax	d æ b ɖ æ ɡ æ ħ
dabeecadda	d æ b eː ʕ æ d d æ
dabeyl	d æ b e j l
dabi	d æ b i
dabiib	d æ b iː b
dabiici	d æ b iː ʕ i
dabiiciga	d æ b iː ʕ i ɡ æ
dabka	d æ b k æ
dable	d æ b l e
dabocase	d æ b ɔ ʕ æ s e
daboolan	d æ b ɔː l æ n
dabqaad	d æ b q æː d
dacar	d æ ʕ æ r
dacawo	d æ ʕ æ w ɔ
dacdheer	d æ ʕ ɖ eː r
dacwah	d æ ʕ w æ h
dad	d æ d
dada	d æ d æ
dadban	d æ d b æ n
dadka	d æ d k æ
dado	d æ d ɔ
dadqalato	d æ d q æ l æ t ɔ
dadweynaha	d æ d w e j n æ h æ
dadyow	d æ d j ɔ w
dadyowga	d æ d j ɔ w ɡ æ
daf	d æ f
dafa	d æ f æ
daffo	d æ f f ɔ
dafle	d æ f l e
dafo	d æ f ɔ
dafutoglu	d æ f u t ɔ ɡ l u
dagaal	d æ ɡ æː l
dagaaladii	d æ ɡ æː l æ d iː
dagaalamin	d æ ɡ æː l æ m i n
dagaaliki	d æ ɡ æː l i k i
dagaalka	d æ ɡ æː l k æ
dagaalki	d æ ɡ æː l k i
dagaalkii	d æ ɡ æː l k iː
dagaallki	d æ ɡ æː l l k i
dagaalyahannada	d æ ɡ æː l j æ h æ n n æ d æ
dagaar	d æ ɡ æː r
dagaari	d æ ɡ æː r i
daggan	d æ ɡ ɡ æ n
dagiine	d æ ɡ iː n e
dagmada	d æ ɡ m æ d æ
dagmo	d æ ɡ m ɔ
dagmooyinka	d æ ɡ m ɔː j i n k æ
dagnachew	d æ ɡ n æ ʕ h e w
dago	d æ ɡ ɔ
dagoodi	d æ ɡ ɔː d i
dagoodiye	d æ ɡ ɔː d i j e
dagrin	d æ ɡ r i n
daguuro	d æ ɡ uː r ɔ
dah	d æ h
daha	d æ h æ
dahab	d æ h æ b
dahabi	d æ h æ b i
dahabiga	d æ h æ b i ɡ æ
dahabka	d æ h æ b k æ
dahabshiil	d æ h æ b ʃ iː l
dahar	d æ h æ r
dahnad	d æ h n æ d
dahyun	d æ h j u n
dai	d æ i
daiane	d æ i æ n e
dairo	d æ i r ɔ
daisy	d æ i s j
dajimaale	d æ d͡ʒ i m æː l e
dajinta	d æ d͡ʒ i n t æ
dajuumo	d æ d͡ʒ uː m ɔ
dakad	d æ k æ d
dakar	d æ k æ r
dakhare	d æ χ æ r e
dakhliga	d æ χ l i ɡ æ
dakkar	d æ k k æ r
dakota	d æ k ɔ t æ
dakpogan	d æ k ɔ ɡ æ n
dal	d æ l
daladda	d æ l æ d d æ
dalai	d æ l æ i
dalalka	d æ l æ l k æ
dalambaabi	d æ l æ m b æː b i
dalene	d æ l e n e
dalgiris	d æ l ɡ i r i s
dalia	d æ l i æ
dalib	d æ l i b
daliban	d æ l i b æ n
dalida	d æ l i d æ
daliil	d æ l iː l
dalitso	d æ l i t s ɔ
daljir	d æ l d͡ʒ i r
daljoogaha	d æ l d͡ʒ ɔː ɡ æ h æ
dalka	d æ l k æ
dalla	d æ l l æ
dallac	d æ l l æ ʕ
dallaga	d æ l l æ ɡ æ
dallas	d æ l l æ s
dalmar	d æ l m æ r
dalnuurshe	d æ l n uː r ʃ e
dalo	d æ l ɔ
daloolinka	d æ l ɔː l i n k æ
dalsan	d æ l s æ n
dalton	d æ l t ɔ n
dalweyn	d æ l w e j n
dalxa	d æ l ħ æ
dalxiiska	d æ l ħ iː s k æ
damaashaad	d æ m æː ʃ æː d
damal	d æ m æ l
damala	d æ m æ l æ
damalaxagare	d æ m æ l æ ħ æ ɡ æ r e
daman	d æ m æ n
dambas	d æ m b æ s
dambiilayaal	d æ m b iː l æ j æː l
dambiisha	d æ m b iː ʃ æ
dambiyada	d æ m b i j æ d æ
dambo	d æ m b ɔ
dameer	d æ m eː r
dameerfarow	d æ m eː r f æ r ɔ w
damian	d æ m i æ n
damiir	d æ m iː r
damilola	d æ m i l ɔ l æ
damis	d æ m i s
damon	d æ m ɔ n
danab	d æ n æ b
danbaba	d æ n b æ b æ
dance	d æ n ʕ e
dancing	d æ n ʕ i n ɡ
dandaan	d æ n d æː n
dandala	d æ n d æ l æ
dandamale	d æ n d æ m æ l e
danga	d æ n ɡ æ
danger	d æ n ɡ e r
dangiwa	d æ n ɡ i w æ
dangme	d æ n ɡ m e
dangorayo	d æ n ɡ ɔ r æ j ɔ
dani	d æ n i
dania	d æ n i æ
daniel	d æ n i e l
daniella	d æ n i e l l æ
danielle	d æ n i e l l e
danita	d æ n i t æ
danja	d æ n d͡ʒ æ
danke	d æ n k e
dano	d æ n ɔ
danot	d æ n ɔ t
danti	d æ n t i
danube	d æ n u b e
daoud	d æ ɔ u d
daphne	d æ h n e
daqiiq	d æ q iː q
daqiiqad	d æ q iː q æ d
daqsi	d æ q s i
dar	d æ r
daraad	d æ r æː d
daraakoola	d æ r æː k ɔː l æ
daraasaadka	d æ r æː s æː d k æ
daraawiish	d æ r æː w iː ʃ
daraawiishlander	d æ r æː w iː ʃ l æ n d e r
daraawiishnimada	d æ r æː w iː ʃ n i m æ d æ
daraawiishta	d æ r æː w iː ʃ t æ
daraawish	d æ r æː w i ʃ
daradii	d æ r æ d iː
darajooyinka	d æ r æ d͡ʒ ɔː j i n k æ
daran	d æ r æ n
darar	d æ r æ r
dararwayne	d æ r æ r w æ j n e
darawal	d æ r æ w æ l
darawiish	d æ r æ w iː ʃ
darawiisheed	d æ r æ w iː ʃ eː d
darawiishi	d æ r æ w iː ʃ i
darawiishta	d æ r æ w iː ʃ t æ
darawish	d æ r æ w i ʃ
daray	d æ r æ j
darbi	d æ r b i
dardaa	d æ r d æː
dardaare	d æ r d æː r e
dardaniil	d æ r d æ n iː l
dardargelinta	d æ r d æ r ɡ e l i n t æ
dare	d æ r e
dareema	d æ r eː m æ
dareemo	d æ r eː m ɔ
dareen	d æ r eː n
dareenka	d æ r eː n k æ
dareere	d æ r eː r e
darey	d æ r e j
dari	d æ r i
daria	d æ r i æ
dariiqa	d æ r iː q æ
dariiqo	d æ r iː q ɔ
dariishad	d æ r iː ʃ æ d
darious	d æ r i ɔ u s
darjeeling	d æ r d͡ʒ eː l i n ɡ
darmstadtiyaam	d æ r m s t æ d t i j æː m
darod	d æ r ɔ d
dartii	d æ r t iː
darusalam	d æ r u s æ l æ m
darussalam	d æ r u s s æ l æ m
daruur	d æ r uː r
daruuro	d æ r uː r ɔ
darwiish	d æ r w iː ʃ
darwiishad	d æ r w iː ʃ æ d
darwiishi	d æ r w iː ʃ i
darwiishiga	d æ r w iː ʃ i ɡ æ
darwiishland	d æ r w iː ʃ l æ n d
darwiishlander	d æ r w iː ʃ l æ n d e r
darwiishnimada	d æ r w iː ʃ n i m æ d æ
darwiishphobia	d æ r w iː ʃ h ɔ b i æ
das	d æ s
dash	d æ ʃ
dassen	d æ s s e n
dassios	d æ s s i ɔ s
dastuur	d æ s t uː r
dastuuri	d æ s t uː r i
dastuurka	d æ s t uː r k æ
database	d æ t æ b æ s e
date	d æ t e
datsun	d æ t s u n
david	d æ i d
davids	d æ i d s
davidson	d æ i d s ɔ n
davidtz	d æ i d t
davies	d æ i e s
davis	d æ i s
davison	d æ i s ɔ n
dawa	d æ w æ
dawaco	d æ w æ ʕ ɔ
dawam	d æ w æ m
dawaro	d æ w æ r ɔ
dawayya	d æ w æ j j æ
dawie	d æ w i e
dawlad	d æ w l æ d
dawlada	d æ w l æ d æ
dawladda	d æ w l æ d d æ
dawladdaha	d æ w l æ d d æ h æ
dawladii	d æ w l æ d iː
dawn	d æ w n
dawo	d æ w ɔ
dawoco	d æ w ɔ ʕ ɔ
dawre	d æ w r e
dax	d æ ħ
daxal	d æ ħ æ l
daxo	d æ ħ ɔ
day	d æ j
dayak	d æ j æ k
dayax	d æ j æ ħ
dayaxa	d æ j æ ħ æ
dayaxgacmeed	d æ j æ ħ ɡ æ ʕ m eː d
daydream	d æ j d r e æ m
dayet	d æ j e t
daygii	d æ j ɡ iː
dayib	d æ j i b
daylight	d æ j l i ɡ h t
dayniile	d æ j n iː l e
dayo	d æ j ɔ
dayr	d æ j r
days	d æ j s
db	d b
dc	d ʕ
dcnder	d ʕ n d e r
dds	d d s
