aa	a a
batapah	b̤ a t a p a h
bataputih	b̤ a t a p u t i h
batara	b̤ a t a r a
batarang	b̤ a t a r a ŋ
bataratat	b̤ a t a r a t a t
batareca	b̤ a t a r e t͡ʃ a
batareja	b̤ a t a r e d͡ʒ̤ a
batas	b̤ a t a s
batasari	b̤ a t a s a r i
batata	b̤ a t a t a
batauga	b̤ a t a u ɡ̤ a
batavia	b̤ a t a v i a
bataviaasch	b̤ a t a v i a a s t͡ʃ h
bataviasche	b̤ a t a v i a s t͡ʃ h e
batawi	b̤ a t a w i
batchoy	b̤ a t t͡ʃ h o j
bate	b̤ a t e
batealit	b̤ a t e a l i t
batee	b̤ a t e e
bategede	b̤ a t e ɡ̤ e d̪̤ e
bater	b̤ a t e r
bates	b̤ a t e s
bath	b̤ a ʈ
bathang	b̤ a ʈ a ŋ
bathara	b̤ a ʈ a r a
bathari	b̤ a ʈ a r i
bathik	b̤ a ʈ i k
bathok	b̤ a ʈ o k
bathuk	b̤ a ʈ u k
bathur	b̤ a ʈ u r
bati	b̤ a t i
batiamba	b̤ a t i a m b̤ a
batik	b̤ a t i k
batilai	b̤ a t i l a i
batilap	b̤ a t i l a p
batioh	b̤ a t i o h
batiombo	b̤ a t i o m b̤ o
batman	b̤ a t m a n
batnfjords	b̤ a t n f d͡ʒ̤ o r d̪̤ s
bato	b̤ a t o
batobella	b̤ a t o b̤ e l l a
batokaban	b̤ a t o k a b̤ a n
batokalangan	b̤ a t o k a l a ŋ a n
batokan	b̤ a t o k a n
batokorogan	b̤ a t o k o r o ɡ̤ a n
batom	b̤ a t o m
batonaong	b̤ a t o n a o ŋ
batoporo	b̤ a t o p o r o
bator	b̤ a t o r
batt	b̤ a t t
battani	b̤ a t t a n i
battembat	b̤ a t t e m b̤ a t
batth	b̤ a t ʈ
battle	b̤ a t t l e
battleship	b̤ a t t l e s h i p
batty	b̤ a t t j
batu	b̤ a t u
batuagung	b̤ a t u a ɡ̤ u ŋ
batuah	b̤ a t u a h
batuaji	b̤ a t u a d͡ʒ̤ i
batuampar	b̤ a t u a m p a r
batuan	b̤ a t u a n
batuangus	b̤ a t u a ŋ u s
batuanten	b̤ a t u a n t e n
batubara	b̤ a t u b̤ a r a
batubella	b̤ a t u b̤ e l l a
batubellah	b̤ a t u b̤ e l l a h
batubulan	b̤ a t u b̤ u l a n
batuceper	b̤ a t u t͡ʃ e p e r
batudaa	b̤ a t u d̪̤ a a
batudinding	b̤ a t u d̪̤ i n d̪̤ i ŋ
batui	b̤ a t u i
batujajar	b̤ a t u d͡ʒ̤ a d͡ʒ̤ a r
batujaya	b̤ a t u d͡ʒ̤ a j a
batukaang	b̤ a t u k a a ŋ
batukali	b̤ a t u k a l i
batukandik	b̤ a t u k a n d̪̤ i k
batukarang	b̤ a t u k a r a ŋ
batukerbuy	b̤ a t u k e r b̤ u j
batukliang	b̤ a t u k l i a ŋ
batulappa	b̤ a t u l a p p a
batulicin	b̤ a t u l i t͡ʃ i n
batumadeg	b̤ a t u m a d̪̤ e ɡ̤
batumarmar	b̤ a t u m a r m a r
batumi	b̤ a t u m i
batumirah	b̤ a t u m i r a h
batunaya	b̤ a t u n a j a
batung	b̤ a t u ŋ
batungsel	b̤ a t u ŋ s e l
batununggal	b̤ a t u n u ŋ ɡ̤ a l
batununggul	b̤ a t u n u ŋ ɡ̤ u l
batunya	b̤ a t u ɲ a
batunyana	b̤ a t u ɲ a n a
batuputih	b̤ a t u p u t i h
batur	b̤ a t u r
baturad	b̤ a t u r a d̪̤
baturaden	b̤ a t u r a d̪̤ e n
baturagung	b̤ a t u r a ɡ̤ u ŋ
baturaja	b̤ a t u r a d͡ʒ̤ a
baturan	b̤ a t u r a n
baturana	b̤ a t u r a n a
baturasang	b̤ a t u r a s a ŋ
batureja	b̤ a t u r e d͡ʒ̤ a
baturejo	b̤ a t u r e d͡ʒ̤ o
baturetna	b̤ a t u r e t n a
baturetno	b̤ a t u r e t n o
baturinggit	b̤ a t u r i ŋ ɡ̤ i t
baturiti	b̤ a t u r i t i
baturrad	b̤ a t u r r a d̪̤
baturraden	b̤ a t u r r a d̪̤ e n
batursari	b̤ a t u r s a r i
batusalang	b̤ a t u s a l a ŋ
batutut	b̤ a t u t u t
batuwarna	b̤ a t u w a r n a
batuwarno	b̤ a t u w a r n o
bau	b̤ a u
bauernfr	b̤ a u e r n f r
bauerwitz	b̤ a u e r w i t z
bauhaus	b̤ a u h a u s
baula	b̤ a u l a
baulin	b̤ a u l i n
baumkuchen	b̤ a u m k u t͡ʃ h e n
baung	b̤ a u ŋ
baur	b̤ a u r
baurena	b̤ a u r e n a
baureno	b̤ a u r e n o
bauru	b̤ a u r u
bausasran	b̤ a u s a s r a n
bausastra	b̤ a u s a s t r a
bautista	b̤ a u t i s t a
bauwarna	b̤ a u w a r n a
bavaria	b̤ a v a r i a
baviera	b̤ a v i e r a
baw	b̤ a w
bawa	b̤ a w a
bawah	b̤ a w a h
bawahan	b̤ a w a h a n
bawak	b̤ a w a k
bawan	b̤ a w a n
bawana	b̤ a w a n a
bawang	b̤ a w a ŋ
bawangan	b̤ a w a ŋ a n
bawangsa	b̤ a w a ŋ s a
bawean	b̤ a w e a n
bawen	b̤ a w e n
bawok	b̤ a w o k
bawolato	b̤ a w o l a t o
bawono	b̤ a w o n o
bawor	b̤ a w o r
bawu	b̤ a w u
bawuk	b̤ a w u k
bawukan	b̤ a w u k a n
bawuran	b̤ a w u r a n
baxo	b̤ a ks o
bay	b̤ a j
baya	b̤ a j a
bayah	b̤ a j a h
bayalali	b̤ a j a l a l i
bayalangu	b̤ a j a l a ŋ u
bayan	b̤ a j a n
bayanan	b̤ a j a n a n
bayat	b̤ a j a t
bayem	b̤ a j e m
bayemgedh	b̤ a j e m ɡ̤ e ɖ̤
bayemharja	b̤ a j e m h a r d͡ʒ̤ a
bayer	b̤ a j e r
bayern	b̤ a j e r n
bayeux	b̤ a j e u ks
bayi	b̤ a j i
bayon	b̤ a j o n
bayongbong	b̤ a j o ŋ b̤ o ŋ
bayonne	b̤ a j o n n e
bayt	b̤ a j t
bayu	b̤ a j u
bayung	b̤ a j u ŋ
bayungcerik	b̤ a j u ŋ t͡ʃ e r i k
bayur	b̤ a j u r
bayureja	b̤ a j u r e d͡ʒ̤ a
baywatch	b̤ a j w a t t͡ʃ h
baz	b̤ a z
bazin	b̤ a z i n
bazzi	b̤ a z z i
bbc	b̤ b̤ t͡ʃ
bbu	b̤ b̤ u
bc	b̤ t͡ʃ
be	b̤ e
beach	b̤ e a t͡ʃ h
beals	b̤ e a l s
beasiswa	b̤ e a s i s w a
beast	b̤ e a s t
beastly	b̤ e a s t l j
beasts	b̤ e a s t s
beata	b̤ e a t a
beatifikasi	b̤ e a t i f i k a s i
beatles	b̤ e a t l e s
beatrice	b̤ e a t r i t͡ʃ e
beatrix	b̤ e a t r i ks
beautiful	b̤ e a u t i f u l
beauty	b̤ e a u t j
beauverdiana	b̤ e a u v e r d̪̤ i a n a
bebadan	b̤ e b̤ a d̪̤ a n
bebalang	b̤ e b̤ a l a ŋ
bebali	b̤ e b̤ a l i
bebandem	b̤ e b̤ a n d̪̤ e m
bebasan	b̤ e b̤ a s a n
bebaya	b̤ e b̤ a j a
bebek	b̤ e b̤ e k
bebekan	b̤ e b̤ e k a n
bebel	b̤ e b̤ e l
bebengan	b̤ e b̤ e ŋ a n
beber	b̤ e b̤ e r
beberan	b̤ e b̤ e r a n
bebetin	b̤ e b̤ e t i n
bebi	b̤ e b̤ i
bebinca	b̤ e b̤ i n t͡ʃ a
bebrayan	b̤ e b̤ r a j a n
bebungah	b̤ e b̤ u ŋ a h
beby	b̤ e b̤ j
becak	b̤ e t͡ʃ a k
bechukotai	b̤ e t͡ʃ h u k o t a i
becik	b̤ e t͡ʃ i k
beck	b̤ e t͡ʃ k
becker	b̤ e t͡ʃ k e r
beckham	b̤ e t͡ʃ k h a m
becky	b̤ e t͡ʃ k j
bedadung	b̤ e d̪̤ a d̪̤ u ŋ
bedagai	b̤ e d̪̤ a ɡ̤ a i
bedagas	b̤ e d̪̤ a ɡ̤ a s
bedagung	b̤ e d̪̤ a ɡ̤ u ŋ
bedahan	b̤ e d̪̤ a h a n
bedahlawak	b̤ e d̪̤ a h l a w a k
bedali	b̤ e d̪̤ a l i
bedana	b̤ e d̪̤ a n a
bedanten	b̤ e d̪̤ a n t e n
bedara	b̤ e d̪̤ a r a
bedewang	b̤ e d̪̤ e w a ŋ
bedfordshire	b̤ e d̪̤ f o r d̪̤ s h i r e
bedhah	b̤ e ɖ̤ a h
bedhali	b̤ e ɖ̤ a l i
bedhaya	b̤ e ɖ̤ a j a
bedhil	b̤ e ɖ̤ i l
bedhilan	b̤ e ɖ̤ i l a n
bedhingin	b̤ e ɖ̤ i ŋ i n
bedhug	b̤ e ɖ̤ u ɡ̤
bedil	b̤ e d̪̤ i l
bedilan	b̤ e d̪̤ i l a n
bedingfield	b̤ e d̪̤ i ŋ f i e l d̪̤
bedingin	b̤ e d̪̤ i ŋ i n
bedono	b̤ e d̪̤ o n o
bedoyo	b̤ e d̪̤ o j o
bedu	b̤ e d̪̤ u
bedug	b̤ e d̪̤ u ɡ̤
bedugul	b̤ e d̪̤ u ɡ̤ u l
bedulu	b̤ e d̪̤ u l u
beek	b̤ e e k
beemster	b̤ e e m s t e r
beenie	b̤ e e n i e
beersheba	b̤ e e r s h e b̤ a
beesel	b̤ e e s e l
beet	b̤ e e t
beethoven	b̤ e e ʈ o v e n
beetle	b̤ e e t l e
before	b̤ e f o r e
beg	b̤ e ɡ̤
begadon	b̤ e ɡ̤ a d̪̤ o n
begajah	b̤ e ɡ̤ a d͡ʒ̤ a h
begalan	b̤ e ɡ̤ a l a n
began	b̤ e ɡ̤ a n
beganjing	b̤ e ɡ̤ a n d͡ʒ̤ i ŋ
begawan	b̤ e ɡ̤ a w a n
begawat	b̤ e ɡ̤ a w a t
begawi	b̤ e ɡ̤ a w i
beged	b̤ e ɡ̤ e d̪̤
beginners	b̤ e ɡ̤ i n n e r s
begjane	b̤ e ɡ̤ d͡ʒ̤ a n e
begna	b̤ e ɡ̤ n a
begnadalen	b̤ e ɡ̤ n a d̪̤ a l e n
behaalotecha	b̤ e h a a l o t e t͡ʃ h a
behar	b̤ e h a r
behgjet	b̤ e h ɡ̤ d͡ʒ̤ e t
behoa	b̤ e h o a
beiarn	b̤ e i a r n
beignet	b̤ e i ɡ̤ n e t
beijing	b̤ e i d͡ʒ̤ i ŋ
beijinho	b̤ e i d͡ʒ̤ i n h o
beirut	b̤ e i r u t
beisfjord	b̤ e i s f d͡ʒ̤ o r d̪̤
beistadgrenda	b̤ e i s t a d̪̤ ɡ̤ r e n d̪̤ a
beit	b̤ e i t
beitost	b̤ e i t o s t
beitstad	b̤ e i t s t a d̪̤
bejalen	b̤ e d͡ʒ̤ a l e n
bejat	b̤ e d͡ʒ̤ a t
bejaten	b̤ e d͡ʒ̤ a t e n
bejen	b̤ e d͡ʒ̤ e n
beji	b̤ e d͡ʒ̤ i
bejiarja	b̤ e d͡ʒ̤ i a r d͡ʒ̤ a
bejiarjo	b̤ e d͡ʒ̤ i a r d͡ʒ̤ o
bejiarum	b̤ e d͡ʒ̤ i a r u m
bejirejo	b̤ e d͡ʒ̤ i r e d͡ʒ̤ o
bejiruyung	b̤ e d͡ʒ̤ i r u j u ŋ
bek	b̤ e k
bekakak	b̤ e k a k a k
bekal	b̤ e k a l
bekam	b̤ e k a m
bekambit	b̤ e k a m b̤ i t
bekantan	b̤ e k a n t a n
bekas	b̤ e k a s
bekasakan	b̤ e k a s a k a n
bekasi	b̤ e k a s i
bekel	b̤ e k e l
beketel	b̤ e k e t e l
bekicot	b̤ e k i t͡ʃ o t
bekkarfjord	b̤ e k k a r f d͡ʒ̤ o r d̪̤
bekkeberga	b̤ e k k e b̤ e r ɡ̤ a
bekkegrenda	b̤ e k k e ɡ̤ r e n d̪̤ a
bekkelaget	b̤ e k k e l a ɡ̤ e t
bekkestua	b̤ e k k e s t u a
bekkjarvik	b̤ e k k d͡ʒ̤ a r v i k
bekonang	b̤ e k o n a ŋ
bekri	b̤ e k r i
beksa	b̤ e k s a
beksan	b̤ e k s a n
beku	b̤ e k u
bekutuk	b̤ e k u t u k
bel	b̤ e l
belah	b̤ e l a h
belahanreja	b̤ e l a h a n r e d͡ʒ̤ a
belakang	b̤ e l a k a ŋ
belalang	b̤ e l a l a ŋ
belalau	b̤ e l a l a u
belaman	b̤ e l a m a n
belambus	b̤ e l a m b̤ u s
belancan	b̤ e l a n t͡ʃ a n
belanda	b̤ e l a n d̪̤ a
belandean	b̤ e l a n d̪̤ e a n
belandingan	b̤ e l a n d̪̤ i ŋ a n
belang	b̤ e l a ŋ
belanga	b̤ e l a ŋ a
belange	b̤ e l a ŋ e
belangian	b̤ e l a ŋ i a n
belangkas	b̤ e l a ŋ k a s
belangw	b̤ e l a ŋ w
belanja	b̤ e l a n d͡ʒ̤ a
belanti	b̤ e l a n t i
belantih	b̤ e l a n t i h
belarus	b̤ e l a r u s
belarusia	b̤ e l a r u s i a
belas	b̤ e l a s
belateran	b̤ e l a t e r a n
belatungan	b̤ e l a t u ŋ a n
belawa	b̤ e l a w a
belawan	b̤ e l a w a n
belawang	b̤ e l a w a ŋ
belayu	b̤ e l a j u
belayung	b̤ e l a j u ŋ
belchatow	b̤ e l t͡ʃ h a t o w
bele	b̤ e l e
belega	b̤ e l e ɡ̤ a
belenggu	b̤ e l e ŋ ɡ̤ u
belerang	b̤ e l e r a ŋ
belfast	b̤ e l f a s t
belgard	b̤ e l ɡ̤ a r d̪̤
belgia	b̤ e l ɡ̤ i a
belgium	b̤ e l ɡ̤ i u m
belgrade	b̤ e l ɡ̤ r a d̪̤ e
believe	b̤ e l i e v e
belik	b̤ e l i k
belikurip	b̤ e l i k u r i p
belimbing	b̤ e l i m b̤ i ŋ
belis	b̤ e l i s
belitang	b̤ e l i t a ŋ
belitong	b̤ e l i t o ŋ
belitung	b̤ e l i t u ŋ
belize	b̤ e l i z e
bell	b̤ e l l
bella	b̤ e l l a
belle	b̤ e l l e
belli	b̤ e l l i
belloc	b̤ e l l o t͡ʃ
belluk	b̤ e l l u k
belo	b̤ e l o
belok	b̤ e l o k
belopa	b̤ e l o p a
belor	b̤ e l o r
beloved	b̤ e l o v e d̪̤
belu	b̤ e l u
beluk	b̤ e l u k
belumbang	b̤ e l u m b̤ a ŋ
belun	b̤ e l u n
belung	b̤ e l u ŋ
belvedere	b̤ e l v e d̪̤ e r e
belzyce	b̤ e l z j t͡ʃ e
bemidbar	b̤ e m i d̪̤ b̤ a r
bemo	b̤ e m o
ben	b̤ e n
benacerraf	b̤ e n a t͡ʃ e r r a f
benagkah	b̤ e n a ɡ̤ k a h
benakat	b̤ e n a k a t
benang	b̤ e n a ŋ
benangin	b̤ e n a ŋ i n
benangkah	b̤ e n a ŋ k a h
benao	b̤ e n a o
benarous	b̤ e n a r o u s
benawa	b̤ e n a w a
benazio	b̤ e n a z i o
benazir	b̤ e n a z i r
bencana	b̤ e n t͡ʃ a n a
bence	b̤ e n t͡ʃ e
bencoreja	b̤ e n t͡ʃ o r e d͡ʒ̤ a
bencorejo	b̤ e n t͡ʃ o r e d͡ʒ̤ o
benculuk	b̤ e n t͡ʃ u l u k
benda	b̤ e n d̪̤ a
bendaarum	b̤ e n d̪̤ a a r u m
bendan	b̤ e n d̪̤ a n
bendanpete	b̤ e n d̪̤ a n p e t e
bendar	b̤ e n d̪̤ a r
bendara	b̤ e n d̪̤ a r a
bendareja	b̤ e n d̪̤ a r e d͡ʒ̤ a
bendas	b̤ e n d̪̤ a s
bendasari	b̤ e n d̪̤ a s a r i
bendawulung	b̤ e n d̪̤ a w u l u ŋ
bendelan	b̤ e n d̪̤ e l a n
bendera	b̤ e n d̪̤ e r a
benderaku	b̤ e n d̪̤ e r a k u
bendet	b̤ e n d̪̤ e t
bendh	b̤ e n ɖ̤
bendha	b̤ e n ɖ̤ a
bendhaharja	b̤ e n ɖ̤ a h a r d͡ʒ̤ a
bendhan	b̤ e n ɖ̤ a n
bendhandhuwur	b̤ e n ɖ̤ a n ɖ̤ u w u r
bendhasari	b̤ e n ɖ̤ a s a r i
bendhungan	b̤ e n ɖ̤ u ŋ a n
bendi	b̤ e n d̪̤ i
bendjedid	b̤ e n d̪̤ d͡ʒ̤ e d̪̤ i d̪̤
bendo	b̤ e n d̪̤ o
bendogarap	b̤ e n d̪̤ o ɡ̤ a r a p
bendoharjo	b̤ e n d̪̤ o h a r d͡ʒ̤ o
bendokaton	b̤ e n d̪̤ o k a t o n
bendosari	b̤ e n d̪̤ o s a r i
bendung	b̤ e n d̪̤ u ŋ
bendungan	b̤ e n d̪̤ u ŋ a n
benedict	b̤ e n e d̪̤ i t͡ʃ t
benedictine	b̤ e n e d̪̤ i t͡ʃ t i n e
benedictus	b̤ e n e d̪̤ i t͡ʃ t u s
benedikt	b̤ e n e d̪̤ i k t
benelan	b̤ e n e l a n
benelux	b̤ e n e l u ks
bener	b̤ e n e r
benerkulon	b̤ e n e r k u l o n
benerw	b̤ e n e r w
benerwetan	b̤ e n e r w e t a n
benetice	b̤ e n e t i t͡ʃ e
benetti	b̤ e n e t t i
benevento	b̤ e n e v e n t o
beng	b̤ e ŋ
bengahon	b̤ e ŋ a h o n
bengaluru	b̤ e ŋ a l u r u
bengawan	b̤ e ŋ a w a n
bengberokan	b̤ e ŋ b̤ e r o k a n
bengbulang	b̤ e ŋ b̤ u l a ŋ
bengkak	b̤ e ŋ k a k
bengkal	b̤ e ŋ k a l
bengkala	b̤ e ŋ k a l a
bengkalis	b̤ e ŋ k a l i s
bengkat	b̤ e ŋ k a t
bengkel	b̤ e ŋ k e l
bengkelolor	b̤ e ŋ k e l o l o r
bengking	b̤ e ŋ k i ŋ
bengkoang	b̤ e ŋ k o a ŋ
bengkong	b̤ e ŋ k o ŋ
bengkowang	b̤ e ŋ k o w a ŋ
bengkulu	b̤ e ŋ k u l u
bengkunat	b̤ e ŋ k u n a t
bengl	b̤ e ŋ l
bengle	b̤ e ŋ l e
bengo	b̤ e ŋ o
benguk	b̤ e ŋ u k
beni	b̤ e n i
benigno	b̤ e n i ɡ̤ n o
benih	b̤ e n i h
benik	b̤ e n i k
benin	b̤ e n i n
benito	b̤ e n i t o
benj	b̤ e n d͡ʒ̤
benjamin	b̤ e n d͡ʒ̤ a m i n
benjeng	b̤ e n d͡ʒ̤ e ŋ
bennebroek	b̤ e n n e b̤ r o e k
bennet	b̤ e n n e t
bennington	b̤ e n n i ŋ t o n
bennlibygda	b̤ e n n l i b̤ j ɡ̤ d̪̤ a
benny	b̤ e n ɲ
beno	b̤ e n o
benoa	b̤ e n o a
benowo	b̤ e n o w o
bensheim	b̤ e n s h e i m
bensin	b̤ e n s i n
benso	b̤ e n s o
bent	b̤ e n t
bentak	b̤ e n t a k
bentakan	b̤ e n t a k a n
bentang	b̤ e n t a ŋ
bentangan	b̤ e n t a ŋ a n
bentar	b̤ e n t a r
bentarsari	b̤ e n t a r s a r i
benteng	b̤ e n t e ŋ
benthangan	b̤ e n ʈ a ŋ a n
benthik	b̤ e n ʈ i k
bentley	b̤ e n t l e j
bentok	b̤ e n t o k
bentuk	b̤ e n t u k
benua	b̤ e n u a
benuaq	b̤ e n u a q
benyamin	b̤ e ɲ a m i n
benz	b̤ e n z
beo	b̤ e o
beoga	b̤ e o ɡ̤ a
beograd	b̤ e o ɡ̤ r a d̪̤
beondegi	b̤ e o n d̪̤ e ɡ̤ i
beorhtric	b̤ e o r h t r i t͡ʃ
beoseon	b̤ e o s e o n
bepara	b̤ e p a r a
bera	b̤ e r a
beraban	b̤ e r a b̤ a n
berahan	b̤ e r a h a n
beraji	b̤ e r a d͡ʒ̤ i
beralang	b̤ e r a l a ŋ
berampu	b̤ e r a m p u
beran	b̤ e r a n
beranak	b̤ e r a n a k
berang	b̤ e r a ŋ
berangas	b̤ e r a ŋ a s
berangbang	b̤ e r a ŋ b̤ a ŋ
beras	b̤ e r a s
berastagi	b̤ e r a s t a ɡ̤ i
berat	b̤ e r a t
beratan	b̤ e r a t a n
berau	b̤ e r a u
beraur	b̤ e r a u r
berawah	b̤ e r a w a h
berbagi	b̤ e r b̤ a ɡ̤ i
berbah	b̤ e r b̤ a h
berbak	b̤ e r b̤ a k
berbeda	b̤ e r b̤ e d̪̤ a
berbek	b̤ e r b̤ e k
berbelok	b̤ e r b̤ e l o k
berbeluk	b̤ e r b̤ e l u k
berber	b̤ e r b̤ e r
berbere	b̤ e r b̤ e r e
bercak	b̤ e r t͡ʃ a k
berdalen	b̤ e r d̪̤ a l e n
berdarah	b̤ e r d̪̤ a r a h
berdayakakn	b̤ e r d̪̤ a j a k a k n
berdiri	b̤ e r d̪̤ i r i
berembeng	b̤ e r e m b̤ e ŋ
berencana	b̤ e r e n t͡ʃ a n a
bereng	b̤ e r e ŋ
berenices	b̤ e r e n i t͡ʃ e s
berent	b̤ e r e n t
beresela	b̤ e r e s e l a
bereshit	b̤ e r e s h i t
berg	b̤ e r ɡ̤
bergambacht	b̤ e r ɡ̤ a m b̤ a t͡ʃ h t
bergamo	b̤ e r ɡ̤ a m o
bergangrenda	b̤ e r ɡ̤ a ŋ r e n d̪̤ a
bergas	b̤ e r ɡ̤ a s
bergbygda	b̤ e r ɡ̤ b̤ j ɡ̤ d̪̤ a
berge	b̤ e r ɡ̤ e
bergeberget	b̤ e r ɡ̤ e b̤ e r ɡ̤ e t
berged	b̤ e r ɡ̤ e d̪̤
bergegarda	b̤ e r ɡ̤ e ɡ̤ a r d̪̤ a
bergeijk	b̤ e r ɡ̤ e i d͡ʒ̤ k
bergen	b̤ e r ɡ̤ e n
berger	b̤ e r ɡ̤ e r
bergesida	b̤ e r ɡ̤ e s i d̪̤ a
bergheim	b̤ e r ɡ̤ h e i m
bergjord	b̤ e r ɡ̤ d͡ʒ̤ o r d̪̤
berglia	b̤ e r ɡ̤ l i a
bergola	b̤ e r ɡ̤ o l a
bergolo	b̤ e r ɡ̤ o l o
bergsagel	b̤ e r ɡ̤ s a ɡ̤ e l
bergseng	b̤ e r ɡ̤ s e ŋ
bergset	b̤ e r ɡ̤ s e t
bergsfjord	b̤ e r ɡ̤ s f d͡ʒ̤ o r d̪̤
bergsgrendi	b̤ e r ɡ̤ s ɡ̤ r e n d̪̤ i
bergsmoen	b̤ e r ɡ̤ s m o e n
berhenti	b̤ e r h e n t i
beri	b̤ e r i
beringin	b̤ e r i ŋ i n
beringkit	b̤ e r i ŋ k i t
berita	b̤ e r i t a
beriwit	b̤ e r i w i t
berja	b̤ e r d͡ʒ̤ a
berjanjen	b̤ e r d͡ʒ̤ a n d͡ʒ̤ e n
berkat	b̤ e r k a t
berkatlah	b̤ e r k a t l a h
berkelanjutan	b̤ e r k e l a n d͡ʒ̤ u t a n
berkeley	b̤ e r k e l e j
berkelium	b̤ e r k e l i u m
berkelland	b̤ e r k e l l a n d̪̤
berkibarlah	b̤ e r k i b̤ a r l a h
berkoh	b̤ e r k o h
berland	b̤ e r l a n d̪̤
berle	b̤ e r l e
berlev	b̤ e r l e v
berliana	b̤ e r l i a n a
berlin	b̤ e r l i n
berliner	b̤ e r l i n e r
bermani	b̤ e r m a n i
bermi	b̤ e r m i
bermuda	b̤ e r m u d̪̤ a
bern	b̤ e r n
bernadette	b̤ e r n a d̪̤ e t t e
bernadya	b̤ e r n a d̪̤ j a
bernalda	b̤ e r n a l d̪̤ a
bernama	b̤ e r n a m a
bernard	b̤ e r n a r d̪̤
bernardo	b̤ e r n a r d̪̤ o
bernath	b̤ e r n a ʈ
bernd	b̤ e r n d̪̤
berndt	b̤ e r n d̪̤ t
berner	b̤ e r n e r
bernes	b̤ e r n e s
bernhard	b̤ e r n h a r d̪̤
bernheze	b̤ e r n h e z e
bernice	b̤ e r n i t͡ʃ e
bernie	b̤ e r n i e
bernike	b̤ e r n i k e
bernisse	b̤ e r n i s s e
bernoulli	b̤ e r n o u l l i
bero	b̤ e r o
berong	b̤ e r o ŋ
bersama	b̤ e r s a m a
bersant	b̤ e r s a n t
bersaudara	b̤ e r s a u d̪̤ a r a
bersenjata	b̤ e r s e n d͡ʒ̤ a t a
bersiap	b̤ e r s i a p
bersih	b̤ e r s i h
bersol	b̤ e r s o l
bersole	b̤ e r s o l e
bersujud	b̤ e r s u d͡ʒ̤ u d̪̤
berta	b̤ e r t a
bertha	b̤ e r ʈ a
berthe	b̤ e r ʈ e
bertolt	b̤ e r t o l t
bertrand	b̤ e r t r a n d̪̤
beru	b̤ e r u
beruang	b̤ e r u a ŋ
beruk	b̤ e r u k
berun	b̤ e r u n
beruntung	b̤ e r u n t u ŋ
beruwang	b̤ e r u w a ŋ
beryly	b̤ e r j l j
besah	b̤ e s a h
besakih	b̤ e s a k i h
besalen	b̤ e s a l e n
besan	b̤ e s a n
besani	b̤ e s a n i
besar	b̤ e s a r
besaran	b̤ e s a r a n
besawa	b̤ e s a w a
bese	b̤ e s e
beseran	b̤ e s e r a n
beshalach	b̤ e s h a l a t͡ʃ h
beshbarmak	b̤ e s h b̤ a r m a k
besi	b̤ e s i
besita	b̤ e s i t a
besitang	b̤ e s i t a ŋ
besito	b̤ e s i t o
beskalan	b̤ e s k a l a n
beskap	b̤ e s k a p
beslan	b̤ e s l a n
besoa	b̤ e s o a
besol	b̤ e s o l
besole	b̤ e s o l e
best	b̤ e s t
bestala	b̤ e s t a l a
besteland	b̤ e s t e l a n d̪̤
bestik	b̤ e s t i k
bestru	b̤ e s t r u
besuk	b̤ e s u k
besuki	b̤ e s u k i
besur	b̤ e s u r
besusu	b̤ e s u s u
besut	b̤ e s u t
besutan	b̤ e s u t a n
beta	b̤ e t a
betahwalang	b̤ e t a h w a l a ŋ
betalain	b̤ e t a l a i n
betaljemur	b̤ e t a l d͡ʒ̤ e m u r
betawi	b̤ e t a w i
betayaguci	b̤ e t a j a ɡ̤ u t͡ʃ i
betayakauman	b̤ e t a j a k a u m a n
beteille	b̤ e t e i l l e
betek	b̤ e t e k
betelgeuse	b̤ e t e l ɡ̤ e u s e
beteng	b̤ e t e ŋ
betet	b̤ e t e t
betharia	b̤ e ʈ a r i a
bethlehem	b̤ e ʈ l e h e m
betiting	b̤ e t i t i ŋ
betlehem	b̤ e t l e h e m
betoambari	b̤ e t o a m b̤ a r i
betok	b̤ e t o k
betokan	b̤ e t o k a n
beton	b̤ e t o n
better	b̤ e t t e r
bettet	b̤ e t t e t
betula	b̤ e t u l a
betung	b̤ e t u ŋ
betutu	b̤ e t u t u
betv	b̤ e t v
beuningen	b̤ e u n i ŋ e n
beureuh	b̤ e u r e u h
beurre	b̤ e u r r e
beutelwurst	b̤ e u t e l w u r s t
bevergrenda	b̤ e v e r ɡ̤ r e n d̪̤ a
beverly	b̤ e v e r l j
beverwijk	b̤ e v e r w i d͡ʒ̤ k
beyonc	b̤ e j o n t͡ʃ
beyond	b̤ e j o n d̪̤
bfabb	b̤ f a b̤ b̤
bgm	b̤ ɡ̤ m
bh	b̤ h
bhadra	b̤ h a d̪̤ r a
bhadralalita	b̤ h a d̪̤ r a l a l i t a
bhadrika	b̤ h a d̪̤ r i k a
bhagadatta	b̤ h a ɡ̤ a d̪̤ a t t a
bhagawad	b̤ h a ɡ̤ a w a d̪̤
bhagawadgita	b̤ h a ɡ̤ a w a d̪̤ ɡ̤ i t a
bhagyashree	b̤ h a ɡ̤ j a s h r e e
bhairawa	b̤ h a i r a w a
bhaji	b̤ h a d͡ʒ̤ i
bhak	b̤ h a k
bhakkha	b̤ h a k k h a
bhakri	b̤ h a k r i
bhakti	b̤ h a k t i
bhandari	b̤ h a n d̪̤ a r i
bhanu	b̤ h a n u
bharata	b̤ h a r a t a
